id,name,category,latitude,longitude,is_verified
427,Bidhan Chandra Roy Technology Hospital,district_emergency,22.3166763,87.3004378,1
428,Mamtha Health Center,district_emergency,12.9180492,77.6318764,1
430,Suprabha Hospital,district_emergency,13.0079383,77.5469059,1
432,Diacon Hospital,district_emergency,13.0037682,77.5498337,1
433,Nelamangala General Hospital,district_emergency,13.0987847,77.3912296,1
434,"Nair's Hospital , Kochi",district_emergency,9.9502203,76.3179964,1
435,Agarwal Eye Hospital,district_emergency,12.9273417,77.6221301,1
436,Sri Sapthagiri Clinic,district_emergency,12.8736928,77.6449626,1
437,P.S. Mission Hospital,district_emergency,9.9377796,76.3227155,1
438,Dr. Joys Hospital,district_emergency,9.9585788,76.3192419,1
439,"CHC, Kabburu",district_emergency,16.3494826,74.7259333,1
440,Sai Shraddha Hospitality,district_emergency,11.0254581,76.9726262,1
441,Vega ENT Hospitals,district_emergency,11.0144183,76.9437894,1
442,Sitalakshmi Hospital,district_emergency,11.0142906,76.9449521,1
443,Manonmani Hospital,district_emergency,11.0147975,76.9475002,1
444,Preetam's Cardio Care,district_emergency,11.0152003,76.9498136,1
445,Chigateri General Hospital,district_emergency,14.4573717,75.9168998,1
446,Rasi Hospital,district_emergency,11.0097731,76.9503293,1
447,Venkateshwara Hospital,district_emergency,12.9257842,77.6170828,1
448,Namratha Hospital,district_emergency,13.0047859,77.543073,1
449,Devi Eye Hospital,district_emergency,12.9162576,77.6374069,1
450,Amma Hospital,district_emergency,13.0626045,80.2305209,1
451,Mysore Hospital,district_emergency,13.0275337,77.5397051,1
452,Dhanvantri Clinic,district_emergency,15.8308944,74.4823535,1
453,Sahrudaya Hospital,district_emergency,9.5053603,76.3418646,1
454,Lal Hospital,district_emergency,30.8655998,75.8558377,1
